RUN,SPEED1,TOTAL,SPEED2,NUMBER2,SENS,TIME
25,2,10,1.5,0,6,5.7
24,2,10,1.5,0,10,17.56
30,2,10,1.5,2,6,11.28
2,2,10,1.5,2,10,8.39
40,2,10,2.5,0,6,16.67
37,2,10,2.5,0,10,12.04
16,2,10,2.5,2,6,9.22
22,2,10,2.5,2,10,3.94
33,2,30,1.5,0,6,27.02
17,2,30,1.5,0,10,19.46
28,2,30,1.5,2,6,18.54
27,2,30,1.5,2,10,25.7
14,2,30,2.5,0,6,19.02
13,2,30,2.5,0,10,22.39
4,2,30,2.5,2,6,23.85
21,2,30,2.5,2,10,30.12
23,6,10,1.5,0,6,13.42
35,6,10,1.5,0,10,34.26
19,6,10,1.5,2,6,39.74
34,6,10,1.5,2,10,10.6
31,6,10,2.5,0,6,28.89
9,6,10,2.5,0,10,35.61
38,6,10,2.5,2,6,17.2
15,6,10,2.5,2,10,6
39,6,30,1.5,0,6,129.45
8,6,30,1.5,0,0,107.38
26,6,30,1.5,2,6,111.66
11,6,30,1.5,2,0,109.1
6,6,30,2.5,0,6,100.43
20,6,30,2.5,0,0,109.28
10,6,30,2.5,2,6,106.46
32,6,30,2.5,2,0,134.01
1,4,20,2,1,8,10.78
3,4,20,2,1,8,9.39
5,4,20,2,1,8,9.84
7,4,20,2,1,8,13.94
12,4,20,2,1,8,12.33
18,4,20,2,1,8,7.32
29,4,20,2,1,8,7.91
36,4,20,2,1,8,15.58
